Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,1nF,C_0603_1608Metric,400.0505,-200.02525,180.0,bottom
C11,100nF,C_0603_1608Metric,407.988,-219.869,180.0,bottom
C12,100nF,C_0603_1608Metric,396.8755,-218.30025,90.0,bottom
C13,100nF,C_0603_1608Metric,407.988,-229.394,180.0,bottom
C14,100nF,C_0603_1608Metric,407.988,-230.9815,180.0,bottom
C15,100nF,C_0603_1608Metric,395.288,-229.394,0.0,bottom
C16,10uF,C_0603_1608Metric,407.96925,-218.2815,180.0,bottom
C17,100nF,C_0603_1608Metric,395.288,-230.9815,0.0,bottom
D_1,D,D_SOD-123,190.1005,-170.6565,90.0,bottom
D_10,D,D_SOD-123,361.506,-170.6485,90.0,bottom
D_11,D,D_SOD-123,365.57,-170.6565,90.0,bottom
D_12,D,D_SOD-123,399.352,-174.403,270.0,bottom
D_13,D,D_SOD-123,401.765,-174.403,90.0,bottom
D_14,D,D_SOD-123,192.469,-189.762,90.0,bottom
D_15,D,D_SOD-123,213.8845,-189.762,90.0,bottom
D_16,D,D_SOD-123,232.9345,-189.762,90.0,bottom
D_17,D,D_SOD-123,251.9845,-189.762,90.0,bottom
D_18,D,D_SOD-123,271.0345,-189.762,90.0,bottom
D_19,D,D_SOD-123,290.0845,-189.762,90.0,bottom
D_2,D,D_SOD-123,209.15375,-170.6485,90.0,bottom
D_20,D,D_SOD-123,309.1345,-189.762,90.0,bottom
D_21,D,D_SOD-123,328.1845,-189.762,90.0,bottom
D_22,D,D_SOD-123,347.2345,-189.762,90.0,bottom
D_23,D,D_SOD-123,366.2845,-189.762,90.0,bottom
D_24,D,D_SOD-123,385.3345,-189.762,90.0,bottom
D_25,D,D_SOD-123,409.258,-189.762,90.0,bottom
D_26,D,D_SOD-123,197.168,-208.812,90.0,bottom
D_27,D,D_SOD-123,223.4095,-208.812,90.0,bottom
D_28,D,D_SOD-123,242.4595,-208.812,90.0,bottom
D_29,D,D_SOD-123,261.5095,-208.812,90.0,bottom
D_3,D,D_SOD-123,228.20375,-170.6485,90.0,bottom
D_30,D,D_SOD-123,280.5595,-208.812,90.0,bottom
D_31,D,D_SOD-123,299.6095,-208.812,90.0,bottom
D_32,D,D_SOD-123,318.6595,-208.812,90.0,bottom
D_33,D,D_SOD-123,337.7095,-208.812,90.0,bottom
D_34,D,D_SOD-123,356.7595,-208.812,90.0,bottom
D_35,D,D_SOD-123,375.8095,-208.812,90.0,bottom
D_36,D,D_SOD-123,394.8595,-208.812,90.0,bottom
D_37,D,D_SOD-123,413.957,-208.82,90.0,bottom
D_38,D,D_SOD-123,233.9505,-227.862,90.0,bottom
D_39,D,D_SOD-123,197.64425,-227.8065,90.0,bottom
D_4,D,D_SOD-123,247.25375,-170.6485,90.0,bottom
D_40,D,D_SOD-123,271.0345,-227.862,90.0,bottom
D_41,D,D_SOD-123,328.613,-227.862,90.0,bottom
D_42,D,D_SOD-123,350.838,-227.8065,90.0,bottom
D_44,D,D_SOD-123,385.3345,-227.862,90.0,bottom
D_5,D,D_SOD-123,266.30375,-170.6485,90.0,bottom
D_6,D,D_SOD-123,285.35375,-170.6485,90.0,bottom
D_7,D,D_SOD-123,304.40375,-170.6485,90.0,bottom
D_8,D,D_SOD-123,323.45375,-170.6485,90.0,bottom
D_9,D,D_SOD-123,342.50375,-170.6485,90.0,bottom
F2,500mA,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,385.763,-181.769,45.0,bottom
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,386.1595,-162.91525,180.0,bottom
J3,JST SH,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,372.956553,-177.70025,90.0,bottom
R7,5.1k,R_0603_1608Metric,379.413,-165.10025,90.0,bottom
R8,5.1k,R_0603_1608Metric,392.90675,-165.10025,90.0,bottom
R9,10k,R_0603_1608Metric,405.60675,-200.02525,180.0,bottom
SW2,SKQGABE010,SW_Push_SPST_NO_Alps_SKRK,405.60675,-195.26275,180.0,bottom
U4,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,401.638,-224.6315,90.0,bottom
U5,AP2112K-3.3,SOT-23-5_HandSoldering,400.0505,-195.26275,270.0,bottom
U6,PRTR5V0U2X,SOT-143_Handsoldering,382.608711,-170.6565,225.0,bottom
